CATEGORÍA,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,
BOLSAS BASURA PLÁSTICAS,3273,2970,3145,3148,3469,3802,5226,5590,6798,,,,
BIOBOLSAS BASURA,81,97,117,140,168,202,413,812,884,,,,
BIOBOLSAS,10,12,15,20,32,186,411,519,851,,,,
BOLSAS PAPEL,129,129,132,99,140,489,1897,1612,2123,,,,
BOLSAS PEAD,6559,6247,6341,6689,6636,5342,3113,2651,3136,,,,
BOLSAS PEBD,1349,1232,1241,1299,1296,902,249,125,210,,,,
BOLSAS PP,53,48,51,54,66,43,172,233,235,,,,
OTRAS BOLSAS PLÁSTICAS,15,14,15,17,16,12,36,45,65,,,,









,,Ciclo de vida,,,,,,,,uso por años,,,,
Categoría ,Materialidad,Origen materia prima,Transporte,Producción bolsas,Fin de vida,2013,2014,2015,2016,2017,2018,2019,2020,2021
BIOBOLSAS,"Incluye bolsas de ácido poliláctico (PLA) y Mater-Bi (biopolímero, 70% tereftalato de adipato de polibutileno (PBAT), 20% almidón y 10% aditivos)","Los componentes principales para su fabricación vienen de Europa. Las bolsas elaboradas vienen de España, Italia y China","Marítimo hasta Chile. Luego, del puerto de San Antonio o Valparaíso se trasladan a la fabrica y/o centro de distribución en Santiago","Tres etapas principales de producción: extrusión, soplado y confección (impresión y corte).","Relleno sanitario, vertedero o similar. El 2019, 80,5% de los residuos sólidos domiciliarios fueron a rellenos sanitarios y 15,05% a un vertedero o similar (MMA, 2020). En los últimos años han surgido iniciativas para la reutilización o reciclado de distintos tipos de bolsas, pero sigue siendo una número relativamente pequeño respecto al total.",3273,2970,3145,3148,3469,3802,5226,5590,6798
BOLSAS PAPEL,De fibra de celulosa con porcentajes de material reciclado entre 0 a 100%.,Chile y China. Año 2019 hubo una fuerte importación de Rusia,"Bolsas importadas vienen vía marítima hasta el puerto de San Antonio o Valparaíso y luego, se trasladan a la fabrica y/o centro de distribución en la capital: Santiago. Material local se transporta en camiones desde el sur del país a la capital.","Tres etapas principales de producción: Lavado y filtrado, elaboración de la pasta de celulosa y confección (corte de medidas y unión de las paredes y asas)",,81,97,117,140,168,202,413,812,884
BOLSAS PEAD,De polietileno de alta densidad con porcentajes de material reciclado que varían entre 0 a 50%.,"Los pellets de cada plástico provienen de Corea del Sur, Brasil y Estados Unidos. Las bolsas elaboradas vienen de China, India y Tailandia. El 2021 hubo una fuerte importación de bolsas de poliéster desde Argentina.","Marítimo hasta Chile. Luego, del puerto de San Antonio o Valparaíso se trasladan a la fabrica y/o centro de distribución en Santiago.","Tres etapas principales de producción: extrusión, soplado y confección. La confección puede ser a través de procesos de impresión y corte o bien a través de un tejido. Si el material es reciclado, se deben agregar procesos de molienda, lavado y peletizado.",,10,12,15,20,32,186,411,519,851
BOLSAS PEBD,De polietileno de baja densidad.,,,,,129,129,132,99,140,489,1897,1612,2123
BOLSAS PP,"De polipropileno, principalmente en formato de tejido no tejido.",,,,,6559,6247,6341,6689,6636,5342,3113,2651,3136
OTRAS BOLSAS PLÁSTICAS,"Incluye bolsas de tereftalato de polietileno (PET), nylon, poliestireno, poliuretano y policloruro de vinilo (PVC) y algunas de TNT de origen desconocido,",,,,,1349,1232,1241,1299,1296,902,249,125,210
,,,,,,53,48,51,54,66,43,172,233,235
,,,,,,15,14,15,17,16,12,36,45,65
